,yandm,MktRF,smb,hml,rf
199,194302,6.15,4.7,6.33,0.03
200,194303,6.01,5.03,5.51,0.03
201,194304,0.81,2.02,5.76,0.03
202,194305,5.74,4.34,3.21,0.03
203,194306,1.82,-1.01,-0.7,0.03
204,194307,-4.77,-2.35,-2.3,0.03
205,194308,1.3,-0.6,-0.43,0.03
206,194309,2.4,1.3,1.43,0.03
207,194310,-1.15,0.58,1.64,0.03
208,194311,-5.91,-1.63,-4.03,0.03
209,194312,6.36,3.31,3.23,0.03
210,194401,1.74,2.54,2.17,0.03
211,194402,0.37,-0.11,0.83,0.03
212,194403,2.46,1.73,3.43,0.02
213,194404,-1.69,-1.38,-1.13,0.03
214,194405,5.07,1.66,1.04,0.03
215,194406,5.49,3.99,1.75,0.03
216,194407,-1.49,0.57,-0.48,0.03
217,194408,1.57,2.32,-1.44,0.03
218,194409,0.01,0.44,-0.97,0.02
219,194410,0.16,-0.11,-0.39,0.03
220,194411,1.71,0.23,2.52,0.03
221,194412,4.03,2.21,6.04,0.02
222,194501,2.01,2.44,0.63,0.03
223,194502,6.23,1.52,4.33,0.02
224,194503,-3.89,-1.61,-1.66,0.02
225,194504,7.8,0.31,3.24,0.03
226,194505,1.73,1.48,0.36,0.03
227,194506,0.39,3.06,4.23,0.02
228,194507,-2.17,-1.52,-2.62,0.03
229,194508,6.2,1.5,-4.27,0.03
230,194509,4.77,1.7,0.42,0.03
231,194510,3.89,2.38,2.13,0.03
232,194511,5.39,4.31,3.96,0.02
233,194512,1.2,2.1,-2.28,0.03
234,194601,6.24,3.91,2.48,0.03
235,194602,-5.83,-0.71,-1.46,0.03
236,194603,5.87,0.29,-0.54,0.03
237,194604,4.23,2.35,0.32,0.03
238,194605,3.93,1.46,1.28,0.03
239,194606,-3.89,-1.58,-0.39,0.03
240,194607,-2.69,-2.07,0.07,0.03
241,194608,-6.44,-1.84,0.55,0.03
242,194609,-10.17,-4.4,-1.92,0.03
243,194610,-1.44,0.1,3.46,0.03
244,194611,-0.01,-0.44,1.47,0.03
245,194612,4.96,0.08,-1.36,0.03
246,194701,1.25,2.2,-0.73,0.03
247,194702,-1.08,0.68,0.15,0.03
248,194703,-1.67,-1.62,0.61,0.03
249,194704,-4.8,-3.96,0.85,0.03
250,194705,-0.97,-3.26,0.33,0.03
251,194706,5.29,-0.3,-0.59,0.03
252,194707,4.14,1.43,2.82,0.03
253,194708,-1.74,0.32,0.18,0.03
254,194709,-0.54,1.64,1.36,0.06
255,194710,2.47,0.51,0.07,0.06
256,194711,-1.97,-1.71,1.1,0.06
257,194712,3.0,-2.46,3.71,0.08
258,194801,-3.93,2.5,1.39,0.07
259,194802,-4.38,-1.72,0.07,0.07
260,194803,8.07,0.14,4.5,0.09
261,194804,3.65,-1.65,4.11,0.08
262,194805,7.3,0.91,-1.27,0.08
263,194806,-0.1,-1.82,2.81,0.09
264,194807,-5.09,-0.33,0.14,0.08
265,194808,0.25,-1.11,0.28,0.09
266,194809,-2.97,-1.23,-1.71,0.04
267,194810,5.96,-1.5,0.58,0.04
268,194811,-9.3,-0.6,-4.13,0.04
269,194812,3.26,-2.82,-1.94,0.04
270,194901,0.23,1.77,1.23,0.1
271,194902,-2.93,-1.9,-0.86,0.09
272,194903,4.04,2.5,1.29,0.1
273,194904,-1.87,-0.89,-1.13,0.09
274,194905,-2.94,-0.79,-2.37,0.1
275,194906,0.1,-0.91,-1.65,0.1
276,194907,5.54,0.55,0.36,0.09
277,194908,2.6,0.13,-0.62,0.09
278,194909,3.09,1.06,0.24,0.09
279,194910,3.14,1.04,-0.47,0.09
280,194911,1.82,-1.02,-0.97,0.08
281,194912,5.13,2.08,1.79,0.09
282,195001,1.7,3.34,0.13,0.09
283,195002,1.48,0.01,-0.81,0.09
284,195003,1.26,-1.43,-2.81,0.1
285,195004,3.94,2.01,1.37,0.09
286,195005,4.31,-2.12,0.45,0.1
287,195006,-5.94,-2.36,-0.73,0.1
288,195007,1.36,0.69,13.56,0.1
289,195008,4.85,0.76,-1.5,0.1
290,195009,4.81,0.49,-1.07,0.1
291,195010,-0.18,-0.47,1.3,0.12
292,195011,2.76,-0.89,3.33,0.11
293,195012,5.54,1.47,7.36,0.11
294,195101,5.7,1.76,3.64,0.13
295,195102,1.41,0.08,-2.85,0.1
296,195103,-2.15,-0.77,-4.1,0.11
297,195104,4.86,-1.45,3.27,0.13
298,195105,-2.34,0.0,-1.37,0.12
299,195106,-2.62,-2.06,-3.75,0.12
300,195107,6.94,-1.99,2.06,0.13
301,195108,4.27,0.99,-0.13,0.13
302,195109,0.7,1.87,0.63,0.12
303,195110,-2.53,-0.22,0.23,0.16
304,195111,0.57,-0.32,-0.06,0.11
305,195112,3.33,-2.26,-1.59,0.12
306,195201,1.45,-0.61,1.55,0.15
307,195202,-2.62,0.82,-0.61,0.12
308,195203,4.44,-2.99,2.17,0.11
309,195204,-4.97,0.46,-0.1,0.12
310,195205,3.2,-1.0,0.04,0.13
311,195206,3.83,-1.64,1.24,0.15
312,195207,0.91,-0.4,-0.35,0.15
313,195208,-0.76,1.15,0.01,0.15
314,195209,-2.03,1.11,-1.52,0.16
315,195210,-0.66,-1.05,-0.46,0.14
316,195211,5.94,-0.72,0.97,0.1
317,195212,2.93,-1.48,0.19,0.16
318,195301,-0.34,3.61,1.32,0.16
319,195302,-0.27,2.15,-0.09,0.14
320,195303,-1.43,-0.22,-0.85,0.18
321,195304,-2.83,0.3,1.57,0.16
322,195305,0.52,-0.07,0.23,0.17
323,195306,-1.89,-1.87,-0.47,0.18
324,195307,2.4,-0.99,-0.22,0.15
325,195308,-4.52,0.3,-3.54,0.17
326,195309,0.2,-0.82,-2.44,0.16
327,195310,4.6,-1.37,-0.24,0.13
328,195311,2.83,-1.32,-0.15,0.08
329,195312,0.03,-0.86,-2.82,0.13
330,195401,5.13,0.5,3.42,0.11
331,195402,1.67,-0.2,-0.28,0.07
332,195403,3.65,-0.52,-1.5,0.08
333,195404,4.27,-3.42,-0.34,0.09
334,195405,3.09,0.41,2.46,0.05
335,195406,1.07,0.39,0.0,0.06
336,195407,4.99,1.06,4.13,0.05
337,195408,-2.34,2.69,-1.38,0.05
338,195409,6.39,-2.53,0.68,0.09
339,195410,-1.67,0.62,0.67,0.07
340,195411,9.38,-2.62,4.4,0.06
341,195412,5.48,2.12,5.66,0.08
342,195501,0.6,0.36,2.14,0.08
343,195502,3.02,1.59,0.58,0.09
344,195503,-0.16,-0.74,1.97,0.1
345,195504,3.11,-1.62,0.68,0.1
